,text
286,The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/nJKstb1rJf
287,"RT @JPDesloges: iPhone 6 makes iOS a success in the UK, but Android fights back in Japan $AAPL #aapl
http://t.co/LXuyPKVhd5"
288,I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday
289,"Mark #Zuckerberg defends free #Facebook, fires back at @Apple and @Ello http://t.co/BCowoLMizS"
290,And they ain't open till 8 to help me so I can't even contact anyone for the shoot now @apple u can suck multiple digs. Whack
291,RT @yungbaaz: god dammit fuck you @apple
292,"Hey @Apple - hundreds of  black, white, brown, yellow #EricGarner protestors bum-rushed yo store to stage a Die-In &amp; nothing was stolen. Xo"
293,TheStreet:  Corporate Earnings to Contract; Short #Apple: Best of Kass #aapl http://t.co/vrsw8sPbpd
294,"Photo: Caf揭 Mac @Apple: check, Shady Groove @Google: check. For not being a techie, I seem to frequent... http://t.co/RpFTxGAr5L"
295,@tim_cook @Apple FIX MY PHONE
296,1 in 10 US iPhone 6 owners have now used @Apple Pay - report  http://t.co/JkiQUH9i86
297,@Anna_Cochrane @Apple Shouldn't you be out walking Anna? Pick me up a iPhone 6 128g while you're there. I can DM an address.
298,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE
299,"Steve Wozniak on @Apple, the Computer Revolution, and Working With Steve Jobs http://t.co/01201wlyzu via @BW"
300,@lanadelreystan KILL YOURSELF @apple
301,@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame
302,RT @schreier: It makes you smarter.  Elevate is @apple app of the year!  Congratulations @jessepickard and team.  http://t.co/r0cgmthoCC
303,Apple TV fades away in streaming video player market - @Apple #vod #streaming http://t.co/5jYgtiCWlc
304,@apple iBooks picks OPERATION PAPERCLIP as one of the Top Ten NonFiction Books of the Year.  #BestBook2014 #iBooks2014
305,Thought this just happened to me. Why I HATE @apple to this day. http://t.co/19G2JYZOGI via @rollingstone
306,"Apple Inc. price at close, December 05, 2014, is 114.9801. #apple #AAPL"
307,@agiletortoise Once again @apple is inconsistent with app rules to maintain their Plausible Deniability. Sorry to hear that Greg @draftsapp
308,"RT @TheywantVonnie: Dear @Apple 
Can you please create a middle finger emoji ASAP
Sincerely,
All IPhone users"
309,"that was terrifying, suck my ass @apple"
310,"RT @ProzacNation_: 11am and 20% battery. Die, @apple"
311,fuck you @apple @iphone
312,@OneRepublic @Apple How cool that you're working on new music. Can't wait to hear it. But you're working hard. You need rest. :)
313,@leiahemilyy @Apple really???
314,A Orwellian vision of the world once @Apple Pay takes over by @Chris_Skinner http://t.co/oEdBHAki1Z
315,@Apple yo this Genius Bar shit is worst than the dmv get it the fuck together
316,FUCK ALL FUCK IT ALL IM SOOOOO SLEEP FIX YOUR SHIT @APPLE
317,"#AAPL iPad wins in ranking for best Android tablets - Seems reasonable, right? http://t.co/uJGixPbfQG"
318,Why I Hate #Apple. #aapl  http://t.co/inkCjYw0Lq
319,.@Apple patents new reflex drop technology for #Mobile devices|learn how this could come in handy #MobileDose http://t.co/BSGtvfPc5B
320,My phone is on acid right now @apple fix this
321,APPLES EARBUDS ARE SO FUCKING WEAK THEY LITERALLY CANNOT WITHSTAND ANY GOD DAMN DAMAGE I HAVE WASTED SO MUCH MONEY FUCK @Apple
322,"Apple Plans to Launch iPhone 6 Mini Version in 2015 $AAPL #aapl
http://t.co/BPlf0dCyvK"
323,@OneRepublic @Apple @JKsOnTheRadio legit thought that was you in this pic!
324,"Facebook CEO Mark Zuckerberg criticizes Apple $AAPL #aapl
http://t.co/EVrsNVdeXe"
325,@apple  #ios8 #iphone6 #issues device with voicemail. 4 the phone being a phone it seems under developed. Ie:listen message and take a note!
326,"Dear @Apple, I've been an Apple user for over 20 years and can't remember a bug like this current Safari on. #fixit! http://t.co/6AlSsd6igw"
327,"Apple Releases Safari 8.0.1, 7.1.1, and 6.2.1 http://t.co/sIOuKQbs1T #AAPL"
328,Pretty bad @apple my #iphone5 has 20%life left and it is only 11am.
329,You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/8xHh2SLC4X
330,How to #profit in #Apple (#AAPL) #options #trade #trading #finance #short #bet #hedge http://t.co/aMlM8FaJDQ
331,really pissed at @apple . trying to edit video and can't convert files due to not having the mpeg 2 component anymore because of os update.
332,"@MrBeagleman @Apple 
If Starbucks shuts down, anon is decimated"
333,hey @apple fuck you just let me change stores
334,Will #Apple and #Facebook Crush #Google? | The Motley Fool #aapl #fb #goog http://t.co/Me8RLrIoDf
335,JMP raises Apple Inc price target to $150 on 'exceptionally strong' demand for ... http://t.co/SOmV4lx8Ao #AAPL
336,RT @AllisonSalz: When you request custom gift wrap from @apple ... Don't do it ... http://t.co/DoenA0e8nx
337,@CHAYILTrading #ChartOfTheDay Apple #AAPL http://t.co/QRVLWmGw1Z
338,@APPLE YOURE SHIT FIX MY PROBLEM
339,"RT @JPDesloges: Why Apple  Is Poised to Have a Record-Breaking Holiday Season $AAPL #aapl
http://t.co/bTK0MWUBa6"
340,"Dude, @apple is all over the marketing for beats. They have a great marketing team at apple."
341,"@apple @testflightapp You should tell testers that if using Gmail on iOS, your app won't work. Doesn't tell testers at all."
342,RT @RatingsNetwork: Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL #AAPL
343,Can I turn auto correct off @apple ?
344,"RT @JPDesloges: Crystal Baller: Rebirth of the 4-inch iPhone and other insane Apple rumors $AAPL #aapl
http://t.co/yvpAZQUmNt"
345,"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Tuesday, 2 #December) http://t.co/bCjwU8zA0R"
346,#Siri never understands me. She just said she was 'new 2 my language' and didn't get me. I speak English without major accent. #Apple @Apple
347,"RT @SFBJNews: Here are @SFBJEditor 5 things to know today, including who is hoarding the @Apple #iPhone6 http://t.co/lwacRDp3vU"
348,13% left what even is this shit @apple
349,"Happily, @apple restored my faith in them today at their Arndale Store following my earlier complaint."
350,macbook love today @apple
351,@apple your freaking computer went psycho and ruined my life thanks a lot!!!
352,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"
353,Well played @apple http://t.co/mGbsxyiA69
354,Pop up #BostonHoliday - #UrbanNutcracker's @RussellFerg &amp; #krumpers are @Apple Store in Boylston St. @5:30pm today. Dancing &amp; chat'
355,"Apple 'deleted' rivals' music from iPods, court hears $AAPL #aapl
http://t.co/7xYurDyY7R"
356,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP
357,"@ThisDueeMarco @Apple thats annoying, they never get stuff right the first time."
358,Steve Wozniak Says @Apple Starting In Garage Is A Complete Myth @stevewoz- http://t.co/JyAtqxYwha http://t.co/EaBOxjAoFd
359,"Apple MacBook (鶯949.86)
http://t.co/f5IHhOnzHM
@office_nerd @apple
#tech http://t.co/0cuTGtm7fF"
360,@tehhGOAT @Apple do you by accident have me blocked or?
361,Is Apple The Most Important Stock On Earth?  http://t.co/YkyiwKnL5S #aapl http://t.co/eiAOHl8LL1
362,@apple how/why did my iCal undo 6 months of entries related to recurring date entries? they all re-set to 'pay CC'. i had changed to $amnt..
363,"Oh @apple, how many Feedback Assistant messages do I have to send before you do anything about it?"
364,"NO @apple NO! When I make an I phone Album I WANT IT TO STAY ON PHONE, not be removed when camera roll cleared.. GET IT TOGETHER!"
365,"MUST READ: Apple's iPhone 6 China Unicom Lead-Times $AAPL #aapl
http://t.co/KgB8fuFlo3"
366,dang this phone fuckin sucks. fuck you @apple!!! piece of shit iPhone man. y'all disappoint me.
367,My iPod touch case 5 @apple #ipodtouch5thgen http://t.co/8H6UXnwx9P http://t.co/PzaZYtxpGX
368,#iPhone5s is the best mobile that I have had. That's easy It is only that works and It is wonderfull! Thanks @apple @tim_cook
369,Dan Nathan: How To Profit From Apple Inc. (AAPL) Stock? http://t.co/JzTjVsJKhj #AAPL
370,@apple @stevejobs @iTunesMusic yooo fam it's been 48 hours where's my email back I need that @JColeNC album when it drops
371,"I was out to dinner last night and left my computer to charge.  Had the fire happened then, I'd have no house.  @Apple #AppleCordFire"
372,"Hoping @Firefox does not cave! @Apple should allow other browser engines! #OpenUp
Could Soon Come To iOS TechCrunch  http://t.co/WGnY6XOarD"
373,@apple why is it that your iPhone's alarm fails to work sometimes?? I missed 3 bonus points from a class because of this. Sooooo annoyed
374,@apple is this how you train your employees to deal with issues?? To hang up on the customer? After 15 fucking minutes of me waiting on hold
375,"Apple iPod class action trial to continue temporarily without a plaintiff  $AAPL #aapl
http://t.co/vPvSHOQS47"
376,You'd think safari would work well since it's an apple product but no it's been freezing constantly. Such crap products @apple
377,I will definitely think carefully in the future about buying something from @itunes if @apple Support can't even tell me what's going wrong.
378,Steve Wozniak tries to gut the legacy of the late Steve Jobs. #uncool @apple http://t.co/ccPbgibI7B via @BloombergTV
379,"@Apple, you made a mistake. Now it椰s time to Replace or Fix All 2011 Macbook Pro with Graphics Failure. #MBP2011  http://t.co/n64Ygo7JlT"
380,Every new iPhone or update spellcheck suppress my greatness more and more...stop trying to tell me what to type @apple!!!
381,"hey @apple can I catch a fucking maverick of a wave on an iPhone?
didn't think so. #SurfsUpSamsung"
382,@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if it's free
383,"@apple bought a new iPhone 6, never gets reception in the same places my 4s did and battery life is worse. #nomoreapple"
384,PRINCIPLED TRUTHS: Eddy Cue Talks to Fortune as Apple Appeals E-Book Price-Fixing Judgment. #AAPL... http://t.co/1AMKTIeKys
385,iPhone 6 Plus Makes Up 41% of Large Phone Sales as iPhone 6 Leads iOS Devices [iOS Blog] http://t.co/H2U3zIpG82 #AAPL
386,Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple
387,RT @abdinsyakirin: '@apple : Hey you wanna use iFon Siks? Jas follow @rizalscandal and u will get it! '
388,RT @laurrynk: Dear @apple replace my phone my battery sucks
389,RT @Laura_Kate8: WHY DO I HAVE 5 GROUP MESSAGES WITH THE SAME PEOPLE. @apple
390,@Jman98jlb @San0529 my phone does it automatically for some reason. Kinda dumb. Thanks @Apple
391,wtf is my conputer doing I left it alone for five minutes and it does this?? help @apple @billgates http://t.co/KTmXOrp03w
392,@tim_cook Not happy with @Apple @AppStore Backwards compatibility should be a given.  It is for my other apps why not Aperture?? Money Grab?
393,"RT @slawfr: Spent 6000 EUR at Apple. iPhone 6 camera no longer works.Told I got water in it,I did not. Unacceptable customer service @apple"
394,@ABillaut @VaynerMedia @Apple Thanks so much!
395,Apple's PT raised by JMP Securities to $150.00. outperform rating. http://t.co/omCdSCu85d $AAPL #AAPL
396,"No, @Apple, don't 'remind me tomorrow'. Just f'ing TELL ME what the updates you want to install actually ARE."
397,What Happened To Apple Inc?   http://t.co/FJEXI3oP0U  #aapl #apple @MoneyPress http://t.co/wXKmmTMArW
398,"'@OneRepublic: Studio at 45,000 ft.  One outlet,  4 computers.  @Apple we need the batteries of the future NoW!!!! http://t.co/QjxG0DilPO'"
399,ive literally gone through 5 iPhone 5 cords in a little over a year @apple fix this you all suck
400,about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed
401,Apple: Facing A Challenge From Google's Android http://t.co/apqD7jWn7B #AAPL
402,"This iPhone 6 battery isn't as good as you claim, @apple"
403,Love the new @apple @ipadair_2 TV spot - http://t.co/nW7a6iXsjE
404,my dad called now my musics arent playing jesus christ @apple problematic
405,RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/v2GViV6qnh
406,Left the hoos we 100% now got 50 iPhones are dire @apple suck ur mum
407,Ur minute has been about 10 minutes @apple http://t.co/tInVuQNYAM
408,my phone keeps fucking freezing @apple
409,"iPhones are mad sensitive bro, if it's too cold, it dies even with a lot of battery left. If it's too hot, it shuts down as well SMFH @Apple"
410,Day 12 without access to my @iTunes passwd. Apple 'working on it'. No new apps or calendar. @apple ecosystem has achilles? Your move @google
411,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
412,"Cheap Chromebooks teach Apple a lesson: Price matters $AAPL #aapl
http://t.co/GUC5yr4cMf"
413,"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Thursday, 4 #December) http://t.co/w8KyZdoUtE"
414,@TeamCavuto @charliekirk11 @Apple what did Macy's have to do with it or the other stores they blocked?
415,you just did too much you asshole. @apple get your shit together.
416,THIS 16GB IS GOING TO KILL ME. IM THIS CLOSE TO TAKING A SHIT ON MY PHONE @Iphone @apple
417,"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/bxbjni5iHn @apple @LisaEadicicco"
418,RT @jopocop: BloombergTV:  #SteveJobs Testimony to Play Key Role in #iPod Trial http://t.co/vVRrZZMUdL #aapl
419,"#AAPL:Apple Inc., International Business Machines Corp., Exxon Mobil Corpora...http://t.co/0XWPHhpA6C"
420,"#iPhone6, #6 Plus Availability And Wait Time Update: @Apple [#Apple] Store, Verizon .... (#Sunday, 7 #December) http://t.co/OyrnRBvtse"
421,@apple ur a disgrace
422,"@CadeRageous Thx RT .@Apple Own 2600 digital languages (IP) = NEW #internet Leader,10% of cost of #DIY .@googlenexus http://t.co/sQv0FmaPGO"
423,It shouldn't take a whole week to replace my harddrive @apple this is ridiculous I have homework to do
424,@Apple your new ad is fucking racist against the #french
425,@Apple conclusion : Best client service ever
426,"Lowkey, Yosemite trash af I cant use my logic express 9 anymore @Apple yall irritating the fuck outta me - Sincerely a disgruntled person"
427,"#AAPL:Apple's iPhone Gained Significant Share In The US, Japan, Germany And ...http://t.co/xY7bTzgSvy"
428,@THE_HIIT_COACH @weightsmate @Apple it's similar to an existing app (called cardio guru interestingly). Maybe Apple have noticed this?
429,@OneRepublic @Apple it's so crazy haha guys can you follow me? Please
430,.@panic The inconsistency and overall weirdness that controls the @apple #appstore is why I archive previous versions.. easy to downgrade.
431,"Too much completely broken shit in the world, fucks sake. (And Fuck You @Apple for the bullshit 'autocorrects')"
432,"FBI investigates iPad school programme $AAPL #aapl
http://t.co/s5ymu0u1Rb"
433,"#Robots #fabricando #iPhone, #iPad Pro, @Apple [#Apple] Watch, Apple TV y el #.... (#Sunday, 7 #December) http://t.co/TzzREU7NCt"
434,RT @ehsonakbary: THE WORLD'S FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION @Apple http://t.co/Rz8es3q3fj
435,My Iphone just autocorrected believe to beiber. @apple how hard do you guys need to give it up?
436,"Kantar: iPhone 6 helps Apple gain share over Android, iPhone 5c outselling iPhone 6 Plus in US $AAPL #aapl
http://t.co/YLL678kOkn"
437,I just had 40% now I have 8% wtf @apple
438,This happened to me SEVERAL times!! Fuck you @Apple deleted rivals' music from iPods for years...http://t.co/QBvcBmZVOF @MailOnline
439,#AAPL:Corporate Earnings to Contract; Short Apple: Best of Kass...http://t.co/59VMgqR0tH
440,. @mattz62 We'll find out when I go to the @Apple store and see what they say.
441,It would be nice if I could type more than one sentence without my computer freezing up @Apple @Microsoft @Word @Internet @Everyone
442,that yosemite update is so annoying i regret installing it -_- @apple sort out your shit bro
443,Apple Inc heads to trial over digital music claims http://t.co/ojTt06NJ5r #AAPL
444,We're so excited to be named to @Apple's 'App Store Best of 2014' list this year! http://t.co/d7qlmti4Uf #Apple
445,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple
446,"For the past week my phone stay freezing &amp; closing out apps on me, wtf @apple?!"
447,@MhDaDon @Apple I haven't decided yet. I might get bourgeois about it
448,Chinese smartphone maker claims #Apple copied iPhone 6 design - http://t.co/iUzewX1JuE #AAPL #Android
449,"#Apple Wants To Make Your Commute Much Easier, According To This New Patent #aapl http://t.co/fKMNHCmwJU http://t.co/wdqAzQowt3"
450,RT @_emilymahon: @nosheenh2oo9 @Apple this is my most favorite tweet
451,"In other news, @uber raised at $40 bill pre, @apple has $164.5 bill in cash. Good times in the Valley! No, wait... http://t.co/uUP9bDOBe4"
452,Our new @Technogym treadmills getting assembled. Could only be better if @Apple #CarPlay was compatible... http://t.co/C406UvH1uK
453,"How many @Apple products does it take to write a paper? 

Photo credit: iPhone http://t.co/QBtDib92Lo"
454,Apple Inc. (AAPL) iPhone 6 Sales Dent Android Market Share http://t.co/Nbo2TPoG3v #AAPL
455,For some odd reason I can't re-add 1989 on my phone. @apple stop depriving me of my jams
456,RT @KirkYuhnke: What do you think? Want an @Apple #Watch? http://t.co/7HjDjQ1iAb
457,@Apple store #nyc I am honored to be here. #travel http://t.co/JnbCd79z1b
458,RT @saigeist: the most offensive thing is the lack of a trashcan emoji stop the discrimination @apple
459,#xcode #AAPL - source kit crash in swift - getting annoying now.
460,@Apple sometimes I have to restart my phone to make Siri do speak selection and it's annoying #fixit
461,"Apple Opening Advanced R&amp;D Center in Yokohama, Japan http://t.co/RGTBpPywqJ #AAPL"
462,"@jimmymujaj @Apple it works again fucker, not being a hoe if it's only one person SMD"
463,"#Robots #fabricando #iPhone, #iPad Pro, @Apple [#Apple] Watch, Apple TV y el #.... (#Sunday, 7 #December) http://t.co/Ba8eb8r60N"
464,@apple thank you http://t.co/wmSinAAuQf
465,#Apple planning to spend $161 million on its own auditorium at ... - http://t.co/eJU1Q6Qklb #AAPL #WWDC http://t.co/QYhVucuSyP
466,"@ggheorghiu, @mhmcquiston's solution is offering an integration suite, something like @apple's approach"
467,@apple fuck yo shit
468,"@OneRepublic @Apple Hahha All Apple Users have the Same Problem /

Low Batteries.."
469,@iambrozie @Apple Will it give me Edward Scissorhands length fingers? Because then I might be able to use this!
470,"RT @BigBlindz: BlackBerry wants your iPhone, and will pay for it.
http://t.co/ydpQJKKfvM
 #bbry $bbry #blackberry #iPhone $aapl #aapl"
471,RT @spencerescott: Have Apple's iPad Sales Peaked? #AAPL http://t.co/zDUTviV8ys
472,CNBCTV:  #Apple top execs take stand #aapl http://t.co/IeWlOOLdER
473,"Apple Inc. Leads Momentum Stocks, Tesla Motors Inc Loses Steam http://t.co/4eviw5kcsz #AAPL"
474,"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Wednesday, 3 #December) http://t.co/mSMQYRTUTO"
475,Wtf.. My phone is in do not disturb and I'm still getting notifications.. Fix this shit @Applebees @apple
476,@Nale When do you think #parable will be accessible in France @Apple #AppStore
477,"#apple - #Samsung back in courts
@Apple 
@SamsungMobile http://t.co/7sbfUaH5gx"
478,my computers so slow right now its making me want to shoot someone its a god dam mac i shouldnt hav 2 deal with this! @Apple
479,@stevewoz @apple this one got by me patent for apple anti gravity phone includes predictive programing. On drops http://t.co/eYM07DIqTY
480,IM SICK OF YOUR FUCKING SHIT @apple
481,"'#Trademark Confusion: While @Apple App Store #Trademark was rejected in Australia, it's been approved in Europe &amp;...http://t.co/eAsponshkf'"
482,@ATTCares I want to stay with @Apple  me and @SamsungMobile don't get along
483,.@apple MacMail on OS X #Yosemite is really giving me a hard time. Is there an alternative email program out there? #YosemiteProblems
484,We need more products like .@Aviate Companies like .@BlackBerry &amp; .@Apple need to embrace the customization of quality themes.
485,Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net
486,@Apple accused of deleting songs from #iPods without users' knowledge http://t.co/hujK0yawTO
487,Thanks @Apple for the preview of your smartwatch. #fitnesstracker #quantifiedself #IoT http://t.co/WAGN08SDNc
488,Just did my first transaction with @Apple Pay using my @Chase card. Very neat.
489,hey @apple why won't you let me facetime claire stop being rude
490,Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu
491,Zoonova What-If analysis #AAPL #LNKD #FB #GOOGL #TSLA Stocks Options Bonds FRN MM. % -10 bps Vol + 20% Nasdaq 4500 http://t.co/NpIEpe7dp5
492,if my phone dies mid tweet I will SUE you @apple
493,RT @fakebananas: Thanks @Apple for the preview of your smartwatch. #fitnesstracker #quantifiedself #IoT http://t.co/WAGN08SDNc
494,"#Rumors #Surface for @@Apple [#Apple] #iPhone6S and #iPhone7 in #2015. (#Wednesday, 3 #December) http://t.co/dC5O4hRKNn"
495,"RT @BGPublic: Even MORE reason for @Apple to stop using benzene in its manufacturing.

http://t.co/NjdYqwfVAE"
496,@briannaUrie @Apple Their autocorrect is so shit too
497,Idk if it's my phone or WHAT ! Ip6 ain't shit but problems. @apple fix this shit !!
498,Just been handed this @apple device to fix ..m.. owner doesn't fancy waiting .... #nowounder http://t.co/Op8YZAOJk0
499,dear @Apple get your shit together
500,"Apple Inc. Campus 2 Has $161M Auditorium, $74M Fitness Center http://t.co/9KQhafCbCi #AAPL"
501,Protesters in the @Apple store pretty much sums it up. Its like a gravitational pull. Shocked it took this long. Next stop? STARBUCKS!!
502,'@WhoaBiebz: GET YOUR SHIT TOGETHER OR I'LL GUY A SAMSUNG GALAXY S5 @APPLE' http://t.co/LEHpmkxK0a
503,@Listen2Lena 3x bonus airmiles @Apple right now! #airmilesshops
504,@apple and @VerizonSupport the support I received for my iPad tonight was ridiculous going in circles with no solution smh
505,That moment EVERYTIME when walk out of @Apple after purchase &amp; receipt is emailed &amp; think getting stopped or not #MiniHeartAttack @tim_cook
506,Feed My Ego (Futter Mein Ego) iPhone 4/4S Tough Ca  COMPUTING &amp; COMMUNICATION  Melasdesign http://t.co/jbVgROMp3p @cafepress @iphone @apple
507,@Macys Why do I have to sign when making an @Apple Pay transaction?
508,Here's #Apple's Next Great Business http://t.co/L1IfhyexQA via @sai #aapl
509,@apple yo these new headphones i got with my 6 dont work so send me some new ones. Ill dm u my address
510,"@EM_Magazine @Apple How about showing us also in Sonar X3,Ableton Live,Propellerhead Reason,Reaper and MixCraft."
511,fuck type of shit is this @Apple @autocorrect @Siri http://t.co/5zyb6SUepz
512,"#Alle #News zu #iPhone, #iPod und @Apple [#Apple] Watch. (#Monday, 8 #December) http://t.co/iO3m7jkK4t"
513,My apps @apple #ipodtouch5thgen http://t.co/ttEzGarBXd http://t.co/8bUawltG4i
514,#AAPL:Apple heads to trial with Steve Jobs as a witness...http://t.co/qq3XcPJPTk
515,Watch out @Apple.  http://t.co/B3Uq7YeDlx
516,"Is it just me, who feels #Yosemite eats more battery &amp; Resource than #Mavericks?  @Apple are you reading this?"
517,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
518,Footage of the Apple-1 computer running. #ComputerHistory @apple @christiesinc http://t.co/nTGfnJWZ7G
519,waiting a week for a DUNS number is preventing me from being able to build and release a client's iOS app. @apple why do you hate me so?
520,"@apple #apple tech support is so nice. Free stuff!! Sucks about the ringtone issue, though..."
521,"Y'all petty as hell, @Apple..."
522,"RT @ColdDimSum: Too much completely broken shit in the world, fucks sake. (And Fuck You @Apple for the bullshit 'autocorrects')"
523,fuck you fuck you so much i hate you @apple
524,"Companies i admire : @3QDigital @vaynermedia @apple. It must rocks to work there, because mainly of their boss and their culture."
525,my phone was on 19 percent and then it shut off okay @apple fuck you
526,Is Apple The Most Important Stock On Earth?  http://t.co/I5DCA8DagG #aapl http://t.co/Qk9EPOOmhl
527,New Details On @Apple's Giant-Sized #iPad Might Have Just Leaked http://t.co/lYQuGhgn4D via @Inc
528,Why @Apple don't got layaway lol I need an iMac man
529,Here Is The New @iPad Ad #aapl http://t.co/Ec6QKDdTsK http://t.co/Cbpe7mtKvb
530,"Apple: Canaccord, Merrill Up Targets on iPhone Cycle; Mostly Priced into the Stock, Says Pac Crest $AAPL #aapl
http://t.co/aCM2UjwbFc"
531,"Morgan Stanley Sells Apple Inc., but AAPL Stock Still a Buy $AAPL #aapl
http://t.co/w6zGbxeEs0"
532,@Apple ??? My iPhone 3 which has been sitting quietly for a year in a protective case just split open at the back http://t.co/PyoHjiuG03
533,@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking
534,"#iPhone6, #6 Plus trigger spike in @Apple [#Apple] sales worldwide. (#Thursday, 4 #December) http://t.co/L6axoBrifm"
535,"if I tweet about NANDOS my phone puts it in caps, I like the iPhone six, it knows my favourite restaurant. good phone GG @apple"
536,// when i have gone through 6 iphone chargers in the past montht hank s @apple
537,"Dear @Amazon, if @Apple could do it, you can too! http://t.co/l9vbG8JXcL"
538,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
539,"@NevBackwoods exactly. Come on @apple / other phone companies, get yo shit together"
540,"Morgan Stanley Sells #Apple Inc., but #AAPL Stock Still a Buy: #aapl stock news Morgan Stanley Sells Apple Inc... http://t.co/Q20LTF26Uz"
541,Thanks for pushing me into #yosemite @apple it has been the #WORST so slow and clunky. #cantgoback #misssnowleopard #whathappened
542,LastPass Debuts 'Auto-Password Change' Feature for Easy Password Changes [Mac Blog] http://t.co/KRn2ievXhR #AAPL
543,@apple please stop notifying me to 'upgrade iCloud storage' because I do not use iCloud enough to upgrade it nor would I pay for such things
544,"Watch the weekend's new TV ads from @RadioShack, @Apple and more http://t.co/hXhnN8og6K"
545,@ok_fatty @apple thanks 4 almost burning my house down
546,"In world's first #AppleWatch hackathon, apps and challenges emerge http://t.co/3pkiaimuAP via @svbizjournal #aapl"
547,TheStreet:  #Apple Gets Price Target Boost on Back of Strong #iPhone Demand #aapl  http://t.co/f2qTGIBDDq
548,I'm so done with this piece of shit phone why doesn't it ever send me notifications when taylor tweets fuck u @apple
549,"#AAPL:Should Apple, Amazon, or eBay Be Portfolio Picks for 2015?...http://t.co/aWn25MWjzG"
550,#AAPL:Steve Jobs Defends Apple in Taped Deposition...http://t.co/7oXigddEQU
551,My phone turned off iMessage and won't let me turn it back on and oh yeah no message will load or send. Thanks @apple!
552,I'm going to press the play button!! Wait no I'm not :( @apple fix your apps http://t.co/eteewIIjrO
553,"So, Which #PromoProduct suppliers carry brandable @Apple compliant adapters? #HeadsAreGoingToRoll"
554,RT @mariah_reagan: '@JamesLoera: @mariah_reagan true.. Silly iPhone' @apple get your life together
555,RT @marisalovexox: My phone went from 78% to 21% @apple please tell me how that is mathematically possible
556,@getlolo_ @apple explain this please http://t.co/G6fZnyuCP8
557,@steviebuckley It's doing strange things to @dropbox files as well - create a new folder and it disappears etc.  @apple #yosemite #bugs
558,@whereiscooldude @Apple I kind of thought that before hand
559,"RT @Proto_Zsay: what maketh thee of this pesky 'b' that appears at the end of people's text messages, @apple @tim_cook?"
560,Apple Tentatively Approves Plans to Expand Reseller Network in India with 500 New Stores [Mac Blog] http://t.co/ttTFQVOiIr #AAPL
561,Why the fuck is there a 'recently deleted' photo album? @Apple
562,I hope no one ever cons me into getting another crappy @apple product again
563,"@apple but i can't use the component on my tcp install disc, due to the stupid os update. so now i have to pay 20 bucks to re-download it?!"
564,"If @apple made tape dispensers and staplers, I would be all set! http://t.co/7Te2eBic10"
565,@apple #apple corporate raiders selling weak products that stop working within weeks&amp;apple gets out of warranty by claiming dampness
566,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given yesterday. #badservice #Apple"
567,"RT @ace_kit_uk: Apple MacBook (鶯949.86)
http://t.co/f5IHhOnzHM
@office_nerd @apple
#tech http://t.co/dWX2Q7sS6F"
568,"Apple: $115 fits to 8.4% increase in earnings. Use 2014Q3 EPS=$1.42 in  #free IOS App Donkey Stocks. #AAPL
https://t.co/8CBUgrEHZS"
569,"Me too. MT @MsNarcissistic As a die hard @Apple customer, I am truly displeased with the customer service I was given yesterday. #badservice"
570,FUCK YOU @apple FOR MAKING SHIT PRODUCTS
